default		00:00:02.330	2.33	00:00:03.330	3.33	00:00:01.000	1.0	swipe_up
default		00:00:03.833	3.833	00:00:04.833	4.833	00:00:01.000	1.0	swipe_down
default		00:00:07.485	7.485	00:00:08.485	8.485	00:00:01.000	1.0	swipe_up
default		00:00:12.272	12.272	00:00:13.272	13.272	00:00:01.000	1.0	swipe_down
default		00:00:15.960	15.96	00:00:16.950	16.95	00:00:00.990	0.99	swipe_up
default		00:00:21.160	21.16	00:00:22.400	22.4	00:00:01.240	1.24	swipe_down
default		00:00:25.080	25.08	00:00:26.066	26.066	00:00:00.986	0.986	swipe_up
default		00:00:26.440	26.44	00:00:27.480	27.48	00:00:01.040	1.04	swipe_down
default		00:00:31.480	31.48	00:00:32.413	32.413	00:00:00.933	0.933	swipe_up
default		00:00:32.760	32.76	00:00:33.920	33.92	00:00:01.160	1.16	swipe_down
default		00:00:37.560	37.56	00:00:38.520	38.52	00:00:00.960	0.96	swipe_up
default		00:00:42.922	42.922	00:00:44.070	44.07	00:00:01.148	1.148	swipe_down
