default		00:00:01.500	1.5	00:00:02.100	2.1	00:00:00.600	0.6	swipe_up
default		00:00:03.360	3.36	00:00:03.820	3.82	00:00:00.460	0.46	swipe_down
default		00:00:06.810	6.81	00:00:07.380	7.38	00:00:00.570	0.57	swipe_up
default		00:00:11.160	11.16	00:00:11.710	11.71	00:00:00.550	0.55	swipe_down
default		00:00:15.650	15.65	00:00:16.440	16.44	00:00:00.790	0.79	swipe_up
default		00:00:16.990	16.99	00:00:17.470	17.47	00:00:00.480	0.48	swipe_down
default		00:00:21.280	21.28	00:00:21.940	21.94	00:00:00.660	0.66	swipe_up
default		00:00:26.720	26.72	00:00:27.210	27.21	00:00:00.490	0.49	swipe_down
default		00:00:30.990	30.99	00:00:31.670	31.67	00:00:00.680	0.68	swipe_up
default		00:00:32.140	32.14	00:00:32.600	32.6	00:00:00.460	0.46	swipe_down
default		00:00:36.400	36.4	00:00:36.950	36.95	00:00:00.550	0.55	swipe_up
